epoch:1 train_loss:1.385 val_loss:1.417 train_accuracy:0.523 val_accuracy:0.466
epoch:2 train_loss:1.064 val_loss:1.507 train_accuracy:0.621 val_accuracy:0.458
epoch:3 train_loss:0.942 val_loss:1.157 train_accuracy:0.670 val_accuracy:0.644
epoch:4 train_loss:0.827 val_loss:1.458 train_accuracy:0.688 val_accuracy:0.517
epoch:5 train_loss:0.812 val_loss:1.166 train_accuracy:0.704 val_accuracy:0.602
epoch:6 train_loss:0.770 val_loss:1.005 train_accuracy:0.727 val_accuracy:0.653
epoch:7 train_loss:0.713 val_loss:1.269 train_accuracy:0.741 val_accuracy:0.559
epoch:8 train_loss:0.665 val_loss:1.090 train_accuracy:0.756 val_accuracy:0.686
epoch:9 train_loss:0.615 val_loss:1.132 train_accuracy:0.770 val_accuracy:0.627
epoch:10 train_loss:0.593 val_loss:1.169 train_accuracy:0.779 val_accuracy:0.619
epoch:11 train_loss:0.633 val_loss:1.295 train_accuracy:0.768 val_accuracy:0.602
epoch:12 train_loss:0.558 val_loss:1.085 train_accuracy:0.789 val_accuracy:0.661
epoch:13 train_loss:0.577 val_loss:1.055 train_accuracy:0.782 val_accuracy:0.644
epoch:14 train_loss:0.549 val_loss:1.018 train_accuracy:0.796 val_accuracy:0.729
epoch:15 train_loss:0.486 val_loss:1.213 train_accuracy:0.819 val_accuracy:0.678
epoch:16 train_loss:0.521 val_loss:0.905 train_accuracy:0.803 val_accuracy:0.729
epoch:17 train_loss:0.477 val_loss:1.258 train_accuracy:0.829 val_accuracy:0.669
epoch:18 train_loss:0.478 val_loss:1.095 train_accuracy:0.813 val_accuracy:0.593
epoch:19 train_loss:0.464 val_loss:0.993 train_accuracy:0.825 val_accuracy:0.712
epoch:20 train_loss:0.461 val_loss:1.102 train_accuracy:0.825 val_accuracy:0.712
epoch:21 train_loss:0.438 val_loss:1.379 train_accuracy:0.838 val_accuracy:0.636
epoch:22 train_loss:0.470 val_loss:1.424 train_accuracy:0.822 val_accuracy:0.644
epoch:23 train_loss:0.487 val_loss:0.990 train_accuracy:0.816 val_accuracy:0.661
epoch:24 train_loss:0.439 val_loss:1.360 train_accuracy:0.840 val_accuracy:0.695
epoch:25 train_loss:0.407 val_loss:1.334 train_accuracy:0.836 val_accuracy:0.653
epoch:26 train_loss:0.436 val_loss:1.247 train_accuracy:0.832 val_accuracy:0.746
epoch:27 train_loss:0.437 val_loss:1.249 train_accuracy:0.828 val_accuracy:0.695
epoch:28 train_loss:0.404 val_loss:1.050 train_accuracy:0.840 val_accuracy:0.661
epoch:29 train_loss:0.404 val_loss:0.943 train_accuracy:0.846 val_accuracy:0.780
epoch:30 train_loss:0.393 val_loss:1.238 train_accuracy:0.848 val_accuracy:0.661
